"Year","Headline","ConflictTypes","Country","Region","Description","Text","SeverityIndex","ConflictTypeNumeric"
2016,"Water factory is struck during air raids in Yemen","Casualty","Yemen","Western Asia","The Al-Qis water factory is struck during two air raids in, Al-Hawta District, Lahj, Yemen.","Water factory is struck during air raids in Yemen The Al-Qis water factory is struck during two air raids in, Al-Hawta District, Lahj, Yemen.",3,2
2016,"Water well is damaged by air raid in Yemen","Casualty","Yemen","Western Asia","A water well is damaged in Harf Sufyan District, Amran, Yemen, by an air raid.","Water well is damaged by air raid in Yemen A water well is damaged in Harf Sufyan District, Amran, Yemen, by an air raid.",3,2
2016,"Water well is damaged by air raid in Yemen","Casualty","Yemen","Western Asia","A water well is damaged in Bilad Al-Rus District, Sanaa, Yemen by an air raid.","Water well is damaged by air raid in Yemen A water well is damaged in Bilad Al-Rus District, Sanaa, Yemen by an air raid.",3,2
2016,"Water pump is damaged in Yemen","Casualty","Yemen","Western Asia","A water pump in Kitaf Wa Al-Boqe'e District, Sa'ada, Yemen, is damaged in the ongoing sub-national conflict.","Water pump is damaged in Yemen A water pump in Kitaf Wa Al-Boqe'e District, Sa'ada, Yemen, is damaged in the ongoing sub-national conflict.",2,2
2016,"Main water tank is damaged in Yemen","Casualty","Yemen","Western Asia","In Hayfan District, Taizz, a communities main water tank is damaged in the ongoing conflict in Yemen.","Main water tank is damaged in Yemen In Hayfan District, Taizz, a communities main water tank is damaged in the ongoing conflict in Yemen.",1,2
2016,"Water well is damaged by air raid","Casualty","Yemen","Western Asia","In Nihm District, Sanaa, a water well is damaged by an air raid in the ongoing conflict in Yemen.","Water well is damaged by air raid In Nihm District, Sanaa, a water well is damaged by an air raid in the ongoing conflict in Yemen.",3,2
2016,"Several water pumps are hit by air raids in Yemen","Casualty","Yemen","Western Asia","Several water pumps are hit during two air raids in Baqim District, Sa'ada, Yemen.","Several water pumps are hit by air raids in Yemen Several water pumps are hit during two air raids in Baqim District, Sa'ada, Yemen.",3,2
2016,"Water tank is hit during air raids in Yemen","Casualty","Yemen","Western Asia","A water tank is hit during three air raids in Al-Mahwit District, Al Mahwit, Yemen.","Water tank is hit during air raids in Yemen A water tank is hit during three air raids in Al-Mahwit District, Al Mahwit, Yemen.",2,2
2016,"Water project is attacked during air raids in Yemen","Casualty","Yemen","Western Asia","A water project is struck during an air raid in Kitaf Wa Al-Boqe'e District, Saada, Yemen.","Water project is attacked during air raids in Yemen A water project is struck during an air raid in Kitaf Wa Al-Boqe'e District, Saada, Yemen.",2,2
2016,"Water driller is damaged by air raids in Yemen","Casualty","Yemen","Western Asia","A water driller is damaged by ongoing air raids in Arhab District, Sanaa, Yemen.","Water driller is damaged by air raids in Yemen A water driller is damaged by ongoing air raids in Arhab District, Sanaa, Yemen.",3,2
2016,"Water stations are hit during air raids in Yemen","Casualty","Yemen","Western Asia","Water stations hit during air raids in Bila Al-Rus District, Sanaa, Yemen.","Water stations are hit during air raids in Yemen Water stations hit during air raids in Bila Al-Rus District, Sanaa, Yemen.",3,2
2016,"Water driller is damaged in air raid in Yemen","Casualty","Yemen","Western Asia","An air raid causes damage to a water driller in Sirwah District, Marib, Yemen.","Water driller is damaged in air raid in Yemen An air raid causes damage to a water driller in Sirwah District, Marib, Yemen.",2,2
2016,"Desalination plant is hit by air raids in Yemen","Casualty","Yemen","Western Asia","A desalination plant is hit during multiple air raids in Al Mokha District, Taizz, Yemen.","Desalination plant is hit by air raids in Yemen A desalination plant is hit during multiple air raids in Al Mokha District, Taizz, Yemen.",3,2
2016,"Water tank is damaged in Yemen","Casualty","Yemen","Western Asia","A water tank in Bani Sa'ad District, Al Mahwit, Yemen is damaged by the ongoing conflict.","Water tank is damaged in Yemen A water tank in Bani Sa'ad District, Al Mahwit, Yemen is damaged by the ongoing conflict.",1,2
2016,"Desalination company is hit by air raid in Yemen","Casualty","Yemen","Western Asia","An early morning air raid causes damage to a desalination company in Al Mokha District, Taizz, Yemen.","Desalination company is hit by air raid in Yemen An early morning air raid causes damage to a desalination company in Al Mokha District, Taizz, Yemen.",2,2
2016,"Two dams are hit by air raids in Yemen","Casualty","Yemen","Western Asia","The Al-Hayathim dam and the Mahalli dam were both struck during air raids in Nihm District, Sanaa, Yemen in early December.","Two dams are hit by air raids in Yemen The Al-Hayathim dam and the Mahalli dam were both struck during air raids in Nihm District, Sanaa, Yemen in early December.",3,2
2016,"Multiple attacks damage water tanks in Yemen","Casualty","Yemen","Western Asia","Water tanks are damaged over the course of several days in Kamaran District, Hudaydah, Yemen.","Multiple attacks damage water tanks in Yemen Water tanks are damaged over the course of several days in Kamaran District, Hudaydah, Yemen.",1,2
2016,"Water well is hit during air raid in Yemen","Casualty","Yemen","Western Asia","A water well is hit during an air raid in Asilan District, Shabwa, Yemen.","Water well is hit during air raid in Yemen A water well is hit during an air raid in Asilan District, Shabwa, Yemen.",4,2
2016,"Water driller is damaged over the course of four air raids","Casualty","Yemen","Western Asia","Four air raids cause damage to a water driller in Al-Safra'a District, Saada, Yemen.","Water driller is damaged over the course of four air raids Four air raids cause damage to a water driller in Al-Safra'a District, Saada, Yemen.",3,2
2016,"Dam and water driller are damaged by air raids in Yemen","Casualty","Yemen","Western Asia","The Al-Aqran dam and a water driller are hit during ongoing air raids in Nihm District, Sanaa, Yemen.","Dam and water driller are damaged by air raids in Yemen The Al-Aqran dam and a water driller are hit during ongoing air raids in Nihm District, Sanaa, Yemen.",3,2
2017,"An Iran nuclear deal revival could dramatically alter oil prices — if it happens","Trigger","Iran","Western Asia","“Should the nuclear deal be revived, 1-2 million barrels per day of extra oil could hit the market in a comparatively short period of time,” one commodities analyst told CNBC. Iranian negotiators in mid-August expressed optimism about the prospects for an agreement, with one advisor saying “we’re closer than we’ve been before” to securing a deal. But so far, it seems there are a few remaining sticking points that are proving difficult to resolve. The Iran Nuclear Deal and subsequent sanctions imposed on Iran initiated geopolitical tensions.","An Iran nuclear deal revival could dramatically alter oil prices <97> if it happens <93>Should the nuclear deal be revived, 1-2 million barrels per day of extra oil could hit the market in a comparatively short period of time,<94> one commodities analyst told CNBC. Iranian negotiators in mid-August expressed optimism about the prospects for an agreement, with one advisor saying <93>we<92>re closer than we<92>ve been before<94> to securing a deal. But so far, it seems there are a few remaining sticking points that are proving difficult to resolve. The Iran Nuclear Deal and subsequent sanctions imposed on Iran initiated geopolitical tensions.",6,0
2017,"Qatar blockade imposed by Saudi Arabia and its allies on Qatar had regional implications, although it did not lead to major oil supply disruptions.","Political","Qatar","Western Asia","Saudi Arabia continued its oil production and export activities without significant disruption","Qatar blockade imposed by Saudi Arabia and its allies on Qatar had regional implications, although it did not lead to major oil supply disruptions. Saudi Arabia continued its oil production and export activities without significant disruption",2,3
2017,"The Yemen War: An Underestimated Risk For Oil Prices","Weapon","Yemen","Western Asia","The Yemen war has been described by the UN as the world’s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021","The Yemen War: An Underestimated Risk For Oil Prices The Yemen war has been described by the UN as the world<92>s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021",3,1
2017,"The Yemen War: An Underestimated Risk For Oil Prices","Casualty","Yemen","Western Asia","The Yemen war has been described by the UN as the world’s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021","The Yemen War: An Underestimated Risk For Oil Prices The Yemen war has been described by the UN as the world<92>s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021",3,2
2017,"Fueling Conflict: Syria's War for Oil and Gas. Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict.","Trigger","Syria","Western Asia","Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability","Fueling Conflict: Syria's War for Oil and Gas. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability",2,0
2017,"Islamic State militants burn water purification plant in Iraq","Casualty","Iraq","Western Asia","Militants from the Islamic State burn a water purification plant in a town north of the city of Mosul.","Islamic State militants burn water purification plant in Iraq Militants from the Islamic State burn a water purification plant in a town north of the city of Mosul.",5,2
2017,"A bomb planted at water, oil, and gas pipelines explodes","Casualty","Iraq","Western Asia","One of four bombs planted near water, gas, and oil pipelines explodes, injuring a policeman in Dibis, Kirkuk, Iraq.","A bomb planted at water, oil, and gas pipelines explodes One of four bombs planted near water, gas, and oil pipelines explodes, injuring a policeman in Dibis, Kirkuk, Iraq.",2,2
2017,"Islamic State is accused of cutting off water to a village by diverting a river","Weapon","Iraq","Western Asia","A group identified as the Islamic State is accused of cutting off the water flow to a village by diverting a river in Abu Karmah, Muqdadiyah, Diyala, Iraq.","Islamic State is accused of cutting off water to a village by diverting a river A group identified as the Islamic State is accused of cutting off the water flow to a village by diverting a river in Abu Karmah, Muqdadiyah, Diyala, Iraq.",3,1
2017,"Islamic State is accused of cutting off water to a village by diverting a river","Casualty","Iraq","Western Asia","A group identified as the Islamic State is accused of cutting off the water flow to a village by diverting a river in Abu Karmah, Muqdadiyah, Diyala, Iraq.","Islamic State is accused of cutting off water to a village by diverting a river A group identified as the Islamic State is accused of cutting off the water flow to a village by diverting a river in Abu Karmah, Muqdadiyah, Diyala, Iraq.",3,2
2017,"Conflict over water quotas lead to two deaths in Iraq","Trigger","Iraq","Western Asia","Conflict arises between two tribes over water quotas, leaing to two deaths and eight injuries in Suq Al-Shoyokh, Thi-Qar, Iraq.","Conflict over water quotas lead to two deaths in Iraq Conflict arises between two tribes over water quotas, leaing to two deaths and eight injuries in Suq Al-Shoyokh, Thi-Qar, Iraq.",3,0
2017,"Three water authority employees are attacked in conflict over water well","Trigger","Jordan","Western Asia","Three employees of a water authority agency in Ar Ramtha, Irbid, Jordan are shot at and assaulted during their attempt to prevent the drilling of a water well.","Three water authority employees are attacked in conflict over water well Three employees of a water authority agency in Ar Ramtha, Irbid, Jordan are shot at and assaulted during their attempt to prevent the drilling of a water well.",3,0
2017,"Israeli forces destroy water pipes in the West Bank","Casualty","Palestine","Western Asia","Israeli forces destroy water pipes in a rural area, leading to clashes between Israeli forces and local Palestinians in Jenin, West Bank, Palestine.","Israeli forces destroy water pipes in the West Bank Israeli forces destroy water pipes in a rural area, leading to clashes between Israeli forces and local Palestinians in Jenin, West Bank, Palestine.",3,2
2017,"U.S. Coalition against the Islamic State destroys main pipeline to Raqqa","Casualty","Syria","Western Asia","The U.S.-led coalition against the Islamic State destroys the main pipeline supplying water to Raqqa. The official Syrian Arab News Agency says the pipeline was damaged in an airstrike.","U.S. Coalition against the Islamic State destroys main pipeline to Raqqa The U.S.-led coalition against the Islamic State destroys the main pipeline supplying water to Raqqa. The official Syrian Arab News Agency says the pipeline was damaged in an airstrike.",4,2
2017,"Attack on Islamic State forces controlling the Tabqa Dam","Casualty","Syria","Western Asia","A combined U.S. and Syrian force launches an attack on Islamic State in Iraq and the Levant (ISIL) forces controlling the Tabqa Dam "" a choke point on the Euphrates River and source of hydroelectric power for the region, which has been under ISIL control. There are conflicting reports on whether the dam itself was the target of an attack.","Attack on Islamic State forces controlling the Tabqa Dam A combined U.S. and Syrian force launches an attack on Islamic State in Iraq and the Levant (ISIL) forces controlling the Tabqa Dam "" a choke point on the Euphrates River and source of hydroelectric power for the region, which has been under ISIL control. There are conflicting reports on whether the dam itself was the target of an attack.",1,2
2017,"Syrian forces regain control from the Islamic State over water treatment and pumping plants","Casualty","Syria","Western Asia","Syrian governmental forces and their allies regain control from the Islamic State of the water treatment and pumping plants for the strategic town of al Khafsa on the Euphrates River.","Syrian forces regain control from the Islamic State over water treatment and pumping plants Syrian governmental forces and their allies regain control from the Islamic State of the water treatment and pumping plants for the strategic town of al Khafsa on the Euphrates River.",4,2
2017,"ISIS floods villages in the Deir Hafer Plain of east Aleppo","Weapon","Syria","Western Asia","In response to the advance of the Syrian Arab Army, Islamic State in Iraq and the Levant (ISIL) floods villages they control in the Deir Hafer Plain of east Aleppo by pumping water from Lake Assad into the Al-Jar channel.","ISIS floods villages in the Deir Hafer Plain of east Aleppo In response to the advance of the Syrian Arab Army, Islamic State in Iraq and the Levant (ISIL) floods villages they control in the Deir Hafer Plain of east Aleppo by pumping water from Lake Assad into the Al-Jar channel.",3,1
2017,"From late 2016 through early 2017, the water supply in Damascus, Syria is periodically cut when springs outside city are attacke","Casualty","Syria","Western Asia","Up to four million people in Damascus suffer a loss of water services after springs outside the city are attacked. Water from the Wadi Barada and Ain al-Fija springs, which serve 70 percent of the Syrian capital, is cut off when water infrastructure is deliberately targeted.","From late 2016 through early 2017, the water supply in Damascus, Syria is periodically cut when springs outside city are attacke Up to four million people in Damascus suffer a loss of water services after springs outside the city are attacked. Water from the Wadi Barada and Ain al-Fija springs, which serve 70 percent of the Syrian capital, is cut off when water infrastructure is deliberately targeted.",2,2
2017,"Airstrikes, shelling and sniper attacks damage water structures in Al Mohka","Casualty","Yemen","Western Asia","Fighting in Yemen has damaged water infrastructure in several cities. Airstrikes, shelling, and sniper attacks in and around the town of Al Mokha have killed and injured scores of civilians and halted most services, including the main market and the water supply system.","Airstrikes, shelling and sniper attacks damage water structures in Al Mohka Fighting in Yemen has damaged water infrastructure in several cities. Airstrikes, shelling, and sniper attacks in and around the town of Al Mokha have killed and injured scores of civilians and halted most services, including the main market and the water supply system.",2,2
2017,"Airstrikes in Yemen destroy water and electrical systems","Casualty","Yemen","Western Asia","Airstrikes by coalition forces over a multi-day period hit water and electricity systems in Bajil and Al Hawak, Al Hudaydah, Yemen, killing one civilian.","Airstrikes in Yemen destroy water and electrical systems Airstrikes by coalition forces over a multi-day period hit water and electricity systems in Bajil and Al Hawak, Al Hudaydah, Yemen, killing one civilian.",3,2
2017,"Airstrikes in Yemen destroy water and electrical systems","Casualty","Yemen","Western Asia","Airstrikes by coalition forces over a few days hit water and electricity systems in Sanaa and Taiz, Yemen.","Airstrikes in Yemen destroy water and electrical systems Airstrikes by coalition forces over a few days hit water and electricity systems in Sanaa and Taiz, Yemen.",3,2
2017,"Water and electrical systems in Yemen are attacked by coalition forces, killing two","Casualty","Yemen","Western Asia","Two civilians in Maqbanah, Taiz, Yemen, are killed from airstrikes by coalition forces targeting water and electricity systems.","Water and electrical systems in Yemen are attacked by coalition forces, killing two Two civilians in Maqbanah, Taiz, Yemen, are killed from airstrikes by coalition forces targeting water and electricity systems.",2,2
2017,"Airstrikes in Jahran, Dhamar, Yemen hit water systems","Casualty","Yemen","Western Asia","Airstrikes in Jahran, Dhamar, Yemen by coalition forces hit water and electricity systems.","Airstrikes in Jahran, Dhamar, Yemen hit water systems Airstrikes in Jahran, Dhamar, Yemen by coalition forces hit water and electricity systems.",4,2
2017,"Water and electrical systems in Yemen are attacked","Casualty","Yemen","Western Asia","Airstrikes by coalition forces hit water and electricity systems in Sahar, Sadah, Yemen.","Water and electrical systems in Yemen are attacked Airstrikes by coalition forces hit water and electricity systems in Sahar, Sadah, Yemen.",3,2
2017,"Power lines in Dhamar, Yemen are damaged, cutting water to over a million","Casualty","Yemen","Western Asia","The power lines connected to a main water supply system in the city of Dhamar, Yemen are damaged by military activity, affecting approximately one million residents who rely on the water source.","Power lines in Dhamar, Yemen are damaged, cutting water to over a million The power lines connected to a main water supply system in the city of Dhamar, Yemen are damaged by military activity, affecting approximately one million residents who rely on the water source.",3,2
2017,"Government forces in Yemen seize two major water wells; kill 12 Houthi","Casualty","Yemen","Western Asia","Government forces seize two major water wells and kill 12 Houthi fighters in Sirwah, Marib, Yemen.","Government forces in Yemen seize two major water wells; kill 12 Houthi Government forces seize two major water wells and kill 12 Houthi fighters in Sirwah, Marib, Yemen.",2,2
2017,"Multiple airstrikes hit a water storage facility, desalination plant, and other water infrastructure","Casualty","Yemen","Western Asia","Multi-day airstrikes by coalition forces hit a water storage project, a desalination station, and other water infrastructure and electricity systems in Kamaran, Al Hudaydah, Yemen.","Multiple airstrikes hit a water storage facility, desalination plant, and other water infrastructure Multi-day airstrikes by coalition forces hit a water storage project, a desalination station, and other water infrastructure and electricity systems in Kamaran, Al Hudaydah, Yemen.",4,2
2017,"Water tankers are destroyed in Yemen","Casualty","Yemen","Western Asia","Al-Qaeda affliated militants are reported to destroy multiple water tankers that belonged to Houthis militants and the Yemeni Army in Wald Rabi, Al Bayda,  and Lawdar, Abyan, Yemen.","Water tankers are destroyed in Yemen Al-Qaeda affliated militants are reported to destroy multiple water tankers that belonged to Houthis militants and the Yemeni Army in Wald Rabi, Al Bayda,  and Lawdar, Abyan, Yemen.",3,2
2017,"Five killed; 11 injured in airstrikes on water systems in Yemen","Casualty","Yemen","Western Asia","Airstrikes by coalition forces hits several water projects, killing five civilians and injuring 11 others in Saadah and Sahar, Sadah, Yemen.","Five killed; 11 injured in airstrikes on water systems in Yemen Airstrikes by coalition forces hits several water projects, killing five civilians and injuring 11 others in Saadah and Sahar, Sadah, Yemen.",3,2
2017,"Airstrike by coalition forces hits water and electric systems in Sanaa, Yemen","Casualty","Yemen","Western Asia","An airstrike by coalition forces hits water and electricity stations in Al Kaniq, Hamdan, Sanaa, Yemen.","Airstrike by coalition forces hits water and electric systems in Sanaa, Yemen An airstrike by coalition forces hits water and electricity stations in Al Kaniq, Hamdan, Sanaa, Yemen.",4,2
2017,"Airstrike by coalition forces hits water and electric systems in Hajjah, Yemen","Casualty","Yemen","Western Asia","An airstrike by coalition forces hits water and electricity stations in Abs, Hajjah, Yemen.","Airstrike by coalition forces hits water and electric systems in Hajjah, Yemen An airstrike by coalition forces hits water and electricity stations in Abs, Hajjah, Yemen.",4,2
2017,"Multiple coalition airstrikes against water and water systems in Yemen","Casualty","Yemen","Western Asia","Coalition airstrikes target civilian infrastructure, including a water truck and a water pump, injuring at least one civilian in Al Azqul, Sahar, Sadah, and Al Irafaf, Damt, Ad Dali, Yemen.","Multiple coalition airstrikes against water and water systems in Yemen Coalition airstrikes target civilian infrastructure, including a water truck and a water pump, injuring at least one civilian in Al Azqul, Sahar, Sadah, and Al Irafaf, Damt, Ad Dali, Yemen.",5,2
2017,"Water well and desalination plant are hit during air raids","Casualty","Yemen","Western Asia","A water well and a desalination plant in Al Mokha District, Taizz, Yemen are hit during air raids.","Water well and desalination plant are hit during air raids A water well and a desalination plant in Al Mokha District, Taizz, Yemen are hit during air raids.",5,2
2017,"Water truck is damaged by air raid in Yemen","Casualty","Yemen","Western Asia","A water truck is damaged by an air raid in Al-Khawkhah District, Hudaydah, Yemen.","Water truck is damaged by air raid in Yemen A water truck is damaged by an air raid in Al-Khawkhah District, Hudaydah, Yemen.",2,2
2017,"Air raid damages water well in Yemen","Casualty","Yemen","Western Asia","An air raid damages a water well in Nihm District, Sanaa, Yemen.","Air raid damages water well in Yemen An air raid damages a water well in Nihm District, Sanaa, Yemen.",3,2
2017,"Water and sewage treatment plants are attacked during air raids in Yemen","Casualty","Yemen","Western Asia","Two water and sewage treatment plants in Hudaydah, Yemen are hit during air raids in Bajil and Al-Hawk Districts.","Water and sewage treatment plants are attacked during air raids in Yemen Two water and sewage treatment plants in Hudaydah, Yemen are hit during air raids in Bajil and Al-Hawk Districts.",2,2
2017,"Water well attacked in Yemen during air raids","Casualty","Yemen","Western Asia","A water well is hit during air raids in Mawza District, Taizz, Yemen.","Water well attacked in Yemen during air raids A water well is hit during air raids in Mawza District, Taizz, Yemen.",4,2
2017,"Al-Aqran dam is hit during three air raids in Yemen","Casualty","Yemen","Western Asia","The Al-Aqran dam is hit during three air raids in Nihm District, Sanaa, Yemen.","Al-Aqran dam is hit during three air raids in Yemen The Al-Aqran dam is hit during three air raids in Nihm District, Sanaa, Yemen.",3,2
2017,"Water well is hit during air raid in Yemen","Casualty","Yemen","Western Asia","The Al-Naysani well in Maqbanah District, Taizz, Yemen is hit during an air raid.","Water well is hit during air raid in Yemen The Al-Naysani well in Maqbanah District, Taizz, Yemen is hit during an air raid.",4,2
2017,"Water project is hit during air raid in Yemen","Casualty","Yemen","Western Asia","A water project is hit during an air raid in Hamdan District, Sanaa, Yemen.","Water project is hit during air raid in Yemen A water project is hit during an air raid in Hamdan District, Sanaa, Yemen.",2,2
2017,"Water truck near a market is hit during air raid in Yemen","Casualty","Yemen","Western Asia","A water truck is hit during an air raid near Hayran market, Hayran District, Hajjah, Yemen.","Water truck near a market is hit during air raid in Yemen A water truck is hit during an air raid near Hayran market, Hayran District, Hajjah, Yemen.",3,2
2017,"Water project is bombed during air raid","Casualty","Yemen","Western Asia","A water project is bombed during an air raid in Sihar District, Saada, Yemen.","Water project is bombed during air raid A water project is bombed during an air raid in Sihar District, Saada, Yemen.",1,2
2017,"Water truck is hit during air raid in Yemen","Casualty","Yemen","Western Asia","A water truck is hit during an air raid in Harf Sufyan District, Amran, Yemen.","Water truck is hit during air raid in Yemen A water truck is hit during an air raid in Harf Sufyan District, Amran, Yemen.",2,2
2017,"Water drill is hit during air raid in Yemen","Casualty","Yemen","Western Asia","A water drill is hit during an air raid in Al-Safra'a District, Saada, Yemen.","Water drill is hit during air raid in Yemen A water drill is hit during an air raid in Al-Safra'a District, Saada, Yemen.",2,2
2017,"Demonstration over access to water and concerns about salary payments turn violent","Trigger","Yemen","Western Asia","Citizens from Crater, Aden, Yemen, demonstrate to demand salary payments and access to water and electricity services by blocking roads and setting tires on fire.","Demonstration over access to water and concerns about salary payments turn violent Citizens from Crater, Aden, Yemen, demonstrate to demand salary payments and access to water and electricity services by blocking roads and setting tires on fire.",3,0
2018,"An Iran nuclear deal revival could dramatically alter oil prices — if it happens","Trigger","Iran","Western Asia","“Should the nuclear deal be revived, 1-2 million barrels per day of extra oil could hit the market in a comparatively short period of time,” one commodities analyst told CNBC. Iranian negotiators in mid-August expressed optimism about the prospects for an agreement, with one advisor saying “we’re closer than we’ve been before” to securing a deal. But so far, it seems there are a few remaining sticking points that are proving difficult to resolve. The Iran Nuclear Deal and subsequent sanctions imposed on Iran initiated geopolitical tensions.","An Iran nuclear deal revival could dramatically alter oil prices <97> if it happens <93>Should the nuclear deal be revived, 1-2 million barrels per day of extra oil could hit the market in a comparatively short period of time,<94> one commodities analyst told CNBC. Iranian negotiators in mid-August expressed optimism about the prospects for an agreement, with one advisor saying <93>we<92>re closer than we<92>ve been before<94> to securing a deal. But so far, it seems there are a few remaining sticking points that are proving difficult to resolve. The Iran Nuclear Deal and subsequent sanctions imposed on Iran initiated geopolitical tensions.",6,0
2018,"Qatar blockade imposed by Saudi Arabia and its allies on Qatar had regional implications, although it did not lead to major oil supply disruptions.","Political","Qatar","Western Asia","Saudi Arabia continued its oil production and export activities without significant disruption","Qatar blockade imposed by Saudi Arabia and its allies on Qatar had regional implications, although it did not lead to major oil supply disruptions. Saudi Arabia continued its oil production and export activities without significant disruption",2,3
2018,"The Yemen War: An Underestimated Risk For Oil Prices","Weapon","Yemen","Western Asia","The Yemen war has been described by the UN as the world’s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021","The Yemen War: An Underestimated Risk For Oil Prices The Yemen war has been described by the UN as the world<92>s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021",3,1
2018,"The Yemen War: An Underestimated Risk For Oil Prices","Casualty","Yemen","Western Asia","The Yemen war has been described by the UN as the world’s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021","The Yemen War: An Underestimated Risk For Oil Prices The Yemen war has been described by the UN as the world<92>s worst humanitarian crisis, and it appears to be intensifying once again
As the global economy attempts to recover from Covid, renewed violence in Yemen could send oil prices soaring and increase inflation 
A recent report from the Center for Strategic and International Studies showed that Houthi attacks on Saudi Arabia more than doubled in the first nine months of 2021",3,2
2018,"Fueling Conflict: Syria's War for Oil and Gas. Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict.","Trigger","Syria","Western Asia","Syria’s oil and gas resources are too small to be considered a prize in the struggle over the country’s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability","Fueling Conflict: Syria's War for Oil and Gas. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. Syria<92>s oil and gas resources are too small to be considered a prize in the struggle over the country<92>s destiny, but energy issues still play an important part in the conflict. The regime of Syrian President Bashar al-Assad has had to contend with the loss of export revenue since its oil production collapsed, and it is becoming increasingly reliant on imports, thereby deepening its dependence on Iran.
Rebels fighting the Assad regime have by now taken over several oil fields and processing facilities. While this provides them valuable revenue, it has also sparked conflict between factions. This event contributed to instability in the Middle East and increased oil market uncertainties.
Thus, Saudi Arabia maintained its production levels to ensure market stability",2,0
2018,"Violent clashes between farmers and police over access to water leave one dead in Kazeroon, Iran","Trigger","Iran","Western Asia","One person is killed when police are sent to halt ""illegal"" water pumps Kazeroon, Iran, used by farmers and other villagers to access water.","Violent clashes between farmers and police over access to water leave one dead in Kazeroon, Iran One person is killed when police are sent to halt ""illegal"" water pumps Kazeroon, Iran, used by farmers and other villagers to access water.",1,0
2018,"Iranian security forces shoot at protesters, injuring one, at demonstration in Khorramshahr over lack of water","Trigger","Iran","Western Asia","Protests over lack of drinking water supplies in Khorramshahr, Iran begin in front of government buildings. Social media posts of these protests include sounds of shots and cries and show security forces shooting at protesters. Only one protester is reported injured.","Iranian security forces shoot at protesters, injuring one, at demonstration in Khorramshahr over lack of water Protests over lack of drinking water supplies in Khorramshahr, Iran begin in front of government buildings. Social media posts of these protests include sounds of shots and cries and show security forces shooting at protesters. Only one protester is reported injured.",1,0
